"",Unnamed: 0,id,title,release_date,genres,original_language,vote_average,vote_count,popularity,overview,budget,production_companies,revenue,runtime,tagline,profit\\r
4736,4736,420814,Christopher Robin,2018-08-02,"['Adventure', 'Comedy', 'Family', 'Fantasy']",English,7.3,2481,19.164,"Christopher Robin, the boy who had countless adventures in the Hundred Acre Wood, has grown up and lost his way. Now it’s up to his spirited and loveable stuffed animals, Winnie The Pooh, Tigger, ...",75000000,"['Walt Disney Pictures', '2DUX²']",99138899,104,Don't underestimate the value of doing nothing.,24138899
4737,4737,345920,Collateral Beauty,2016-12-06,"['Drama', 'Romance']",English,7.2,5075,19.160,"Retreating from life after a tragedy, a man questions the universe by writing to Love, Time and Death. Receiving unexpected answers, he begins to see how these things interlock and how even loss c...",36000000,"['Village Roadshow Pictures', 'Likely Story', 'Anonymous Content', 'New Line Cinema', 'PalmStar Media', 'Overbrook Entertainment']",88528280,97,We are all connected,52528280
4738,4738,9447,Babe: Pig in the City,1998-11-25,"['Adventure', 'Comedy', 'Drama', 'Family', 'Fantasy']",English,5.6,1090,19.159,"Babe, fresh from his victory in the sheepherding contest, returns to Farmer Hoggett's farm, but after Farmer Hoggett is injured and unable to work, Babe has to go to the big city to save the farm.",90000000,"['Kennedy Miller Productions', 'Universal Pictures']",69131860,92,This little pig went to the city...,-20868140
4740,4740,1977,The Grudge 3,2009-05-12,"['Mystery', 'Horror', 'Thriller']",English,5.4,525,19.158,"Jake Kimble, the sole survivor of the Chicago massacre, is killed while in solitary confinement. His doctor begins investigating the claims he made about a long-haired woman in white, as a mysteri...",5000000,"['Ozla Pictures', 'Stage 6 Films', 'Ghost House Pictures', 'Mandate International']",38610009,90,You can't escape the curse.,33610009
4741,4741,2057,Original Sin,2001-05-08,"['Thriller', 'Drama', 'Mystery', 'Romance']",English,6.1,717,19.154,"A young man is plunged into a life of subterfuge, deceit and mistaken identity in pursuit of a femme fatale whose heart is never quite within his grasp",42000000,"['Epsilon Motion Pictures', 'Via Rosa Productions', 'Di Novi Pictures', 'Intermedia Films', 'UGC DA International', 'Metro-Goldwyn-Mayer', 'Hyde Park Films']",35402320,118,This is not a love story – it's a story about love.,-6597680
4745,4745,399173,The Assignment,2016-06-08,"['Action', 'Crime', 'Thriller']",English,5.5,448,19.144,"Ace assassin Frank Kitchen is double crossed by gangsters and falls into the hands of rogue surgeon known as The Doctor who turns him into a woman. The hitman, now a hitwoman, sets out for revenge...",5000000,['SBS Productions'],388789,95,A revenger's tale.,-4611211
4746,4746,384680,Hostiles,2017-12-22,"['Western', 'Drama', 'History']",English,6.9,2052,19.141,A legendary Native American-hating Army captain nearing retirement in 1892 is given one last assignment: to escort a Cheyenne chief and his family through dangerous territory back to his Montana r...,55000000,"['Entertainment Studios Motion Pictures', 'Waypoint Entertainment', 'Le Grisbi Productions', 'Bloom']",36976336,134,No peace without sacrifice,-18023664
4748,4748,2253,Valkyrie,2008-12-25,"['Drama', 'Thriller', 'History', 'War']",English,6.9,3291,19.139,"Wounded in Africa during World War II, Nazi Col. Claus von Stauffenberg returns to his native Germany and joins the Resistance in a daring plan to create a shadow government and assassinate Adolf ...",75000000,"['United Artists', 'Bad Hat Harry Productions', 'Achte Babelsberg Film']",200276000,121,Many saw evil. They dared to stop it.,125276000
4749,4749,168530,Ride Along,2014-01-07,"['Action', 'Comedy']",English,6.2,2058,19.138,"For the past two years, high-school security guard Ben has been trying to show decorated APD detective James that he's more than just a video-game junkie who's unworthy of James' sister, Angela. W...",25000000,"['Rainforest Entertainment', 'Universal Pictures', 'Relativity Media', 'Cube Vision']",153997819,99,Propose to this cop's sister? Rookie mistake.,128997819
4750,4750,158011,The Call,2013-03-14,"['Crime', 'Thriller']",English,6.8,2674,19.137,"Jordan Turner is an experienced 911 operator but when she makes an error in judgment and a call ends badly, Jordan is rattled and unsure if she can continue. But when teenager Casey Welson is abdu...",13000000,"['TriStar Pictures', 'WWE Studios', 'Troika Pictures', 'Stage 6 Films', 'Amasia Entertainment']",68572378,94,There are 188 million 911 calls a year. This one made it personal.,55572378
4751,4751,11007,Cheaper by the Dozen,2003-12-24,"['Comedy', 'Family']",English,6.3,2546,19.135,"The Baker brood moves to Chicago after patriarch Tom gets a job coaching football at Northwestern University, forcing his writer wife, Mary, and the couple's 12 children to make a major adjustment...",40000000,"['20th Century Fox', 'Robert Simonds Productions']",190212113,98,Growing pains? They've got twelve of them!,150212113
4753,4753,9655,She's the Man,2006-03-17,"['Comedy', 'Drama', 'Romance']",English,6.8,2695,19.129,"Viola Hastings is in a real jam. Complications threaten her scheme to pose as her twin brother, Sebastian, and take his place at a new boarding school. She falls in love with her handsome roommate...",20000000,"['Lakeshore Entertainment', 'DreamWorks Pictures', ""The Donners' Company""]",33889159,105,"If you wanna chase your dream, sometimes you gotta break the rules.",13889159
4755,4755,306819,The Danish Girl,2015-11-27,['Drama'],English,7.6,5434,19.126,"When Gerda Wegener asks her husband Einar to fill in as a portrait model, Einar discovers the person she's meant to be and begins living her life as Lili Elbe. Having realized her true self and wi...",15000000,"['Pretty Pictures', 'Working Title Films', 'Artémis Productions', 'Shelter Productions', 'Senator Global Productions', 'ReVision Pictures']",64191523,119,Find the courage to be yourself.,49191523
4756,4756,595,To Kill a Mockingbird,1962-12-20,"['Drama', 'Crime']",English,8.0,2292,19.121,"Scout Finch, 6, and her older brother Jem live in sleepy Maycomb, Alabama, spending much of their time with their friend Dill and spying on their reclusive and mysterious neighbor, Boo Radley. Whe...",2000000,"['Pakula-Mulligan', 'Brentwood Productions']",13129846,129,A father must expose his children to a small town's outraged passions… and can only protect them with his love.,11129846
4757,4757,390051,Aftermath,2017-02-28,"['Drama', 'Thriller']",English,5.7,801,19.120,"A fatal plane crash changes the lives of Roman and Jake forever. Roman loses his wife and daughter in the accident, while Jake loses his mind—as he happens to be the air traffic controller who fai...",10500000,"['Ingenious Media', 'Protozoa Pictures', 'The Fyzz', 'Oak Productions', 'Pacific View Management', 'Union Editorial', 'Hat and Coat Productions', 'EFO Films', 'Lionsgate Premiere']",840809,92,All he had left was revenge,-9659191
4759,4759,446807,The Girl in the Spider's Web,2018-10-25,['Thriller'],English,6.1,1181,19.117,"After being enlisted to recover a dangerous computer program, hacker Lisbeth Salander and journalist Mikael Blomkvist find themselves caught in a web of spies, cybercriminals and corrupt governmen...",43000000,"['The Cantillon Company', 'Columbia Pictures', 'Scott Rudin Productions', 'Pascal Pictures', 'Metro-Goldwyn-Mayer', 'Yellow Bird', 'Regency Enterprises', 'New Regency Pictures', 'Sony Pictures', '...",35164920,115,The past never forgets.,-7835080
4761,4761,419680,Daddy's Home 2,2017-11-09,['Comedy'],English,6.3,2290,19.116,Brad and Dusty must deal with their intrusive fathers during the holidays.,69000000,"['Red Granite Pictures', 'Gary Sanchez Productions', 'Paramount']",180613180,100,More Daddies. More Problems.,111613180
4762,4762,8293,Howards End,1992-03-13,"['Drama', 'Romance']",English,7.0,442,19.114,"A saga of class relations and changing times in an Edwardian England on the brink of modernity, the film centers on liberal Margaret Schlegel, who, along with her sister Helen, becomes involved wi...",8000000,"['Merchant Ivory Productions', 'Film4 Productions', 'Japan Satellite Broadcasting (JSB)', 'IMAGICA', 'Sumitomo Corporation']",26126837,142,NaN,18126837
4763,4763,4584,Sense and Sensibility,1995-12-13,"['Drama', 'Romance']",English,7.5,1484,19.112,"Based on Jane Austen's classic novel of the Dashwood sisters, sensible Elinor and passionate Marianne, whose chances at marriage seem doomed by their family's sudden loss of fortune.  When Henry D...",16000000,"['Mirage Enterprises', 'Columbia Pictures']",134582776,136,Lose your heart and come to your senses.,118582776
4764,4764,439015,Slender Man,2018-08-10,"['Horror', 'Mystery', 'Thriller']",English,4.4,1783,19.109,"In a small town in Massachusetts, four high school girls perform a ritual in an attempt to debunk the lore of Slender Man. When one of the girls goes mysteriously missing, they begin to suspect th...",10000000,"['Madhouse Entertainment', 'Mythology Entertainment', 'Screen Gems']",11817275,93,Can you see him?,1817275
4765,4765,9542,The Hitcher,1986-01-17,"['Horror', 'Action', 'Thriller']",English,7.0,755,19.108,"On a stormy night, young Jim, who transports a luxury car from Chicago to California to deliver it to its owner, feeling tired and sleepy, picks up a mysterious hitchhiker, who has appeared out of...",6000000,['Feldman/Meeker Productions'],5844868,98,Never pick-up a stranger.,-155132
4768,4768,52736,Hardbodies,1984-05-04,['Comedy'],English,5.0,46,19.104,"Three middle-aged daddies visit California to have a marvelous time at the beach. When they learn that a nice apartment and an expensive cabriolet isn't enough for them to score with the chicks, t...",1995000,"['Chroma III Productions', 'Columbia Pictures']",7100000,88,"If you don't know what they are, you don't know what you're missing.",5105000
4771,4771,4421,G.I. Jane,1997-08-19,"['Action', 'Drama']",English,6.4,1465,19.100,"In response to political pressure from Senator Lillian DeHaven, the U.S. Navy begins a program that would allow for the eventual integration of women into its services. The program begins with a s...",50000000,"['Caravan Pictures', 'Hollywood Pictures', 'First Independent Films', 'Largo Entertainment', 'Trap-Two-Zero Productions', 'Roger Birnbaum Productions', 'Moving Pictures', 'Scott Free Productions']",48169156,125,Failure is not an option.,-1830844
4775,4775,10307,Stigmata,1999-09-10,"['Horror', 'Thriller']",English,6.3,942,19.092,"A young woman with no strong religious beliefs, Frankie Paige begins having strange and violent experiences, showing signs of the wounds that Jesus received when crucified. When the Vatican gets w...",29000000,"['FGM Entertainment', 'Metro-Goldwyn-Mayer']",50041732,103,The messenger must be silenced.,21041732
4780,4780,549053,Last Christmas,2019-11-07,"['Comedy', 'Romance']",English,7.2,2099,19.067,"Kate is a young woman who has a habit of making bad decisions, and her last date with disaster occurs after she accepts work as Santa's elf for a department store. However, after she meets Tom the...",30000000,"['Universal Pictures', 'Feigco Entertainment']",121550750,102,Who doesn't have a little Christmas baggage?,91550750
4781,4781,11152,The Ruins,2008-04-02,['Horror'],English,5.9,1023,19.067,"Americans Amy, Stacy, Jeff and Eric look for fun during a sunny holiday in Mexico, but they get much more than that after visiting an archaeological dig in the jungle.",8000000,"['Spyglass Entertainment', 'Pacific Film and Television Commission', 'Internationale Filmproduktion Prometheus', 'Red Hour', 'DreamWorks Pictures', 'Paramount']",22818256,91,Terror has evolved.,14818256
4782,4782,1710,Copycat,1995-05-03,"['Thriller', 'Crime']",English,6.5,812,19.064,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,20000000,"['New Regency Pictures', 'Regency Enterprises']",32000000,124,"One man is copying the most notorious killers in history one at a time. Together, two women must stop him from killing again. Or they’re next.",12000000
4787,4787,145135,Dark Skies,2013-02-21,"['Science Fiction', 'Thriller', 'Horror']",English,6.3,1616,19.045,"From the producers of Paranormal Activity, Insidious, and Sinister comes Dark Skies: a supernatural thriller that follows a young family living in the suburbs. As husband and wife Daniel and Lacey...",3500000,"['Cinema Vehicle Services', 'Alliance Films', 'Automatik Entertainment', 'Blumhouse Productions']",25174316,97,Once you have been chosen. You belong to them.,21674316
4789,4789,16052,Selena,1997-03-21,"['Drama', 'Music', 'History']",English,7.7,1099,19.037,"In this biographical drama, Selena Quintanilla is born into a musical Mexican-American family in Texas. Her father, Abraham, realizes that his young daughter is talented and begins performing with...",20000000,"['Esparza / Katz Productions', 'Q Productions']",60000000,127,Discover the true story of one of America's brightest stars... that faded too soon.,40000000
